Name,Height,Width
US passport 2x2in (600x600 @300DPI),600,600
UK / Schengen 35x45mm (@300DPI),531,413
One inch,413,295
Two inches,626,413
Small one inch,378,260
Small two inches,531,413
Large one inch,567,390
Large two inches,626,413
Five inches,1499,1050
Teacher qualification certificate,413,295
National civil service exa,413,295
Primary accounting exam,413,295
English CET-4 and CET-6 exams,192,144
Computer level exam,567,390
Graduate entrance exam,709,531
Social security card,441,358
Electronic driver's license,378,260
American visa,600,600
Japanese visa,413,295
Korean visa,531,413
